,precursor_name,updated_precursor_name
1682,PS(17:0_18:2),PS(17:0_18:2)
1683,PS(17:0_18:3),PS(17:0_18:3)
1684,PS(17:0_19:0),PS(17:0_19:0)
1685,PS(17:0_20:0),PS(17:0_20:0)
1686,PS(17:0_20:1),PS(17:0_20:1)
1687,PS(17:0_20:2),PS(17:0_20:2)
1688,PS(17:0_20:3),PS(17:0_20:3)
1689,PS(17:0_20:4),PS(17:0_20:4)
1690,PS(17:0_20:5),PS(17:0_20:5)
1691,PS(17:0_22:4),PS(17:0_22:4)
1692,PS(17:0_22:5),PS(17:0_22:5)
1693,PS(17:0_22:6),PS(17:0_22:6)
1694,PS(18:0_16:1),PS(18:0_16:1)
1695,PS(18:0_18:0),PS(18:0_18:0)
1696,PS(18:0_18:1),PS(18:0_18:1)
1697,PS(18:0_18:2),PS(18:0_18:2)
1698,PS(18:0_18:3),PS(18:0_18:3)
1699,PS(18:0_19:0),PS(18:0_19:0)
1700,PS(18:0_20:0),PS(18:0_20:0)
1701,PS(18:0_20:1),PS(18:0_20:1)
1702,PS(18:0_20:2),PS(18:0_20:2)
1703,PS(18:0_20:3),PS(18:0_20:3)
1704,PS(18:0_20:4),PS(18:0_20:4)
